País,Year,Incidente,Detalles
 Togo  República del Congo  Angola,2010,Ataque a la Selección de fútbol de Togo,"Ataque terrorista en contra del bus de la Selección de fútbol de Togo que ocurrió mientras el equipo viajaba de la República del Congo hacia Angola camino a la Copa Africana de Naciones 2010 que iniciaba el 10 de enero. Un grupo separatista angoleño, de la provincia de Cabinda, el Frente para la Liberación del Enclave de Cabinda, se proclamó como autor del hecho."
 Estados Unidos,2010,Atentado aéreo en Austin de 2010,"Por motivos personales Joseph Andrew Stack estrella una avioneta contra el edificio del IRS en Austin, Texas muriendo él y otra persona e hiriendo a 13."
 Rusia,2010,Atentados del metro de Moscú de 2010,"Dos ataques terroristas suicidas con bombas que se produjeron durante la mañana de ese día en el metro de Moscú (Rusia). El primero ocurrió a las 7:56 (hora local) en la estación Lubianka, cerca del Kremlin y también muy cerca del cuartel general del Servicio Federal de Seguridad ruso (FSB). El segundo atentado se perpetró a las 8:39 en la estación de Parque Kultury. Según el FSB, las bombas eran portadas por dos mujeres terroristas suicidas (llamadas shahidkas o viudas negras), al parecer procedentes del Cáucaso Norte."
 Estados Unidos,2010,Atentado fallido de Times Square de 2010,"Un fallido coche bomba fue desmantelado por el Departamento de Policía de Nueva York (NYPD) en el Times Square, Nueva York. Un oficial fue alertado de la amenaza por un vendedor ambulante. El artefacto compuesto por unos tanques de gas propano, pólvora y unos cables, falló al explotar y fue exitosamente desarmado por un robot sin causar muertes o daños."
 Uganda,2010,Atentados de Kampala de 2010,Tres explosiones en un restaurante de Kampala y en un club de rugby de la ciudad durante la final del Mundial 2010 entre España y Holanda deja un balance de al menos 74 muertos y 70 heridos. Al-Shabaab ha reivindicado los atentados.
 Colombia,2010,Atentado al edificio de Caracol Radio,El atentado fue realizado con un coche bomba cargado con 50 kilos de anfo y un cilindro de gas. El explosivo fue activado aparentemente mediante un teléfono celular o un control remoto.
 México,2010,Masacre de San Fernando de 2010,"La masacre fue un crimen cometido por los Zetas en el ejido de El Huizachal del municipio tamaulipeco de San Fernando (México). Los 72 ejecutados, 58 hombres y 14 mujeres, fueron en su mayoría inmigrantes provenientes de Centro y Sudamérica, asesinados por la espalda, para posteriormente ser apilados y puestos a la intemperie. Las primeras investigaciones señalan que fueron asesinados porque luego de ser secuestrados, no pagaron el dinero que les exigían para dejarlos libres y también se negaron a formar parte del grupo criminal."
 Irak,2010,Atentado contra la iglesia cristiana de Bagdad en 2010,"Un ataque terrorista dirigido contra los católicos caldeos en Bagdad, Irak, que dejó al menos 58 personas muertas, incluyendo 2 sacerdotes, y otros 75 heridos después de que más de 100 feligreses hubieran sido tomados como rehenes. El grupo terrorista, Estado Islámico de Irak(vinculado a al Qaeda) se atribuyó la responsabilidad del ataque."
 Suecia,2010,Atentados de Estocolmo de 2010,"Por motivos personales Taimour Abdulwahab al-Abdaly hizo explotar un coche bomba y minutos después se hizo explotar 4 calles más adelante, solamente él murió y 2 personas fueron heridas."
 Egipto,2011,Atentado de Alejandría de 2011,"Un terrorista suicida se hizo explotar afuera de la iglesia copta ortodoxa de Al-Qiddissine, matando 23 personas e hiriendo a 90.
Al Qaeda se adjudicó el atentado."
 Rusia,2011,Atentado del Aeropuerto Internacional de Moscú-Domodédovo de 2011,"Un terrorista suicida se hace explotar cerca del área de equipaje, matando a 35 personas e hiriendo a más de 100. Al parecer fue obra de terroristas musulmanes chechenos."
 Bielorrusia,2011,Atentado del Metro de Minsk de 2011,"Explosión en un vagón en la estación Oktiabrskaya, 13 personas murieron y 13 resultaron heridas, los principales sospechosos han sido señalados como Dzmitry Kanavalau y Ulad Kavalyou."
 Guatemala,2011,Masacre en Petén,"Un grupo de narcotraficantes del cartel mexicano de Los Zetas irrumpe en una finca en el departamento de Petén en el norte del país y asesinan a 28 campesinos. Según la policía, al menos 200 hombres armados participaron en la masacre.47"
 Noruega,2011,Atentados de Noruega de 2011,"Explosión en el distrito gubernamental de Oslo y tiroteo en campamento en Utøya, 77 personas murieron y 96 resultaron heridas, el responsable es Anders Behring Breivik, los motivos están siendo investigados."
 Israel,2011,Atentados terroristas en el sur de Israel de 2011,"Los terroristas palestinos pertenecientes a Comités de Resistencia Popular abrieron fuego contra dos autobuses, dos automóviles particulares y una patrulla militar. Al menos 8 israelíes fueron asesinados en el múltiple ataque terrorista."
 México,2011,Atentado de Monterrey de 2011,"Un grupo de desconocidos entró al Casino Royale en la ciudad de Monterrey amordazando y ejecutando a las personas que se encontraban en el interior para posteriormente incendiar el lugar.
52 personas murieron y 10 fueron heridas, los principales sospechosos pertenecen al grupo delictivo de Los Zetas."
 Bélgica,2011,Masacre de Lieja de 2011,"Un hombre de 33 años llamado Nordine Amrani disparó y lanzó granadas en la plaza Saint Lambert, 5 personas murieron, incluyendo a Amrani y más de 125 fueron heridas."
 Nigeria,2011,Atentados de Nigeria de diciembre de 2011,La secta radical islámica Boko Haram dirigió una serie de atentados contra las iglesias cristianas en el norte del país asesinando a 40 personas.
 Francia,2012,Tiroteos de Mediodía-Pirineos de 2012,"Una serie de tres tiroteos contra militares franceses en activo y posteriormente un adulto y tres niños de una escuela judía, fueron perpetrados en las ciudades de Montauban y Toulouse, en la región francesa de Mediodía-Pirineos. En total, siete personas fueron asesinadas, además del perpetrador y cinco fueron heridas, cuatro de gravedad. La policía identificó a Mohammed Merah como el responsable de los tiroteos, quien era un hombre de 23 años, ciudadano francés de origen argelino y que declaró estar relacionado con el grupo terrorista Al Qaeda, aunque esto aún no ha sido demostrado. Después de que la policía cercase su vivienda por alrededor de 30 horas, el 22 de marzo, Mohamed Merah fue abatido tras un enfrentamiento con la unidad de élite de la policía francesa, RAID."
 Colombia,2012,Atentado contra Fernando Londoño,"El atentado perpetrado por un hombre de tez morena cobró la vida de dos personas y dejó más de cincuenta civiles heridos, según los reportes oficiales de la Secretaría Distrital de Salud de Bogotá. El ataque terrorista fue cometido por el grupo terrorista FARC y estaba dirigido contra el exministro de interior y justicia colombiano Fernando Londoño Hoyos en la Calle 74 con avenida Caracas en el norte de la ciudad de Bogotá, Colombia."
 Italia,2012,Atentado de Brindisi de 2012,La mafia italiana coloca una bomba en un colegio matando a 1 persona e hiriendo a 7.
 México,2012,Atentado contra la alcaldía de Nuevo Laredo,"A las 11 de la mañana, un sujeto desconocido aparcó una camioneta tipo pickup a las afueras de la alcaldía de Nuevo Laredo, Tamaulipas, unos minutos después el vehículo explotó matando a 1 persona e hiriendo a 7 más de gravedad, también dañó 11 vehículos que se encontraban en la zona. El atentado fue adjudicado a Los Zetas y fue perpetrado por elementos de la Policía estatal de Coahuila. El gobierno mexicano libra una guerra contra los carteles desde diciembre de 2006.48"
